               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
161,1.9081,1.3196,1.2762,0.76372,0.62889,0.63007,0.36077,0,0,0,0.00472,0.00472,0.00472
162,2.0119,1.3373,1.3247,0.61455,0.61906,0.56896,0.33298,0,0,0,0.004687,0.004687,0.004687
163,1.9844,1.3052,1.2929,0.71234,0.64367,0.64306,0.37458,0,0,0,0.004654,0.004654,0.004654
164,1.9585,1.3817,1.2773,0.83205,0.61143,0.62814,0.36309,0,0,0,0.004621,0.004621,0.004621
165,1.8883,1.2607,1.2716,0.73938,0.63841,0.62133,0.37003,0,0,0,0.004588,0.004588,0.004588
166,1.8902,1.3011,1.2541,0.56218,0.63841,0.62596,0.35963,0,0,0,0.004555,0.004555,0.004555
167,1.9123,1.2759,1.2817,0.52473,0.65889,0.6333,0.36849,0,0,0,0.004522,0.004522,0.004522
168,1.9286,1.2413,1.2869,0.66683,0.63048,0.63098,0.37238,0,0,0,0.004489,0.004489,0.004489
169,1.9791,1.3602,1.29,0.63505,0.64635,0.64422,0.38891,0,0,0,0.004456,0.004456,0.004456
170,1.9136,1.2983,1.2987,0.69577,0.66222,0.639,0.38969,0,0,0,0.004423,0.004423,0.004423
171,1.8968,1.2797,1.2862,0.58641,0.66244,0.62251,0.38507,0,0,0,0.00439,0.00439,0.00439
172,1.823,1.2892,1.297,0.63005,0.64,0.65737,0.39983,0,0,0,0.004357,0.004357,0.004357
173,1.8094,1.2513,1.261,0.74401,0.65834,0.66686,0.38183,0,0,0,0.004324,0.004324,0.004324
174,1.8564,1.2312,1.2466,0.57104,0.66857,0.63807,0.36163,0,0,0,0.004291,0.004291,0.004291
175,1.8881,1.2577,1.2979,0.71393,0.65429,0.63958,0.38409,0,0,0,0.004258,0.004258,0.004258
176,1.8696,1.3301,1.315,0.63523,0.6527,0.62274,0.36701,0,0,0,0.004225,0.004225,0.004225
177,1.804,1.2809,1.2732,0.68156,0.60016,0.61512,0.3644,0,0,0,0.004192,0.004192,0.004192
178,1.7947,1.1672,1.2684,0.87184,0.62889,0.64218,0.36607,0,0,0,0.004159,0.004159,0.004159
179,1.8109,1.1965,1.3031,0.65074,0.6781,0.65916,0.39438,0,0,0,0.004126,0.004126,0.004126
180,1.8616,1.2319,1.2634,0.53708,0.63365,0.58523,0.34916,0,0,0,0.004093,0.004093,0.004093
181,1.9157,1.2364,1.2885,0.74875,0.70521,0.68784,0.3931,0,0,0,0.00406,0.00406,0.00406
182,1.8649,1.223,1.2775,0.81165,0.68376,0.68241,0.38455,0,0,0,0.004027,0.004027,0.004027
183,1.9047,1.3347,1.2933,0.86529,0.60624,0.62479,0.36732,0,0,0,0.003994,0.003994,0.003994
184,1.7922,1.1519,1.2666,0.68784,0.64952,0.63701,0.36598,0,0,0,0.003961,0.003961,0.003961
185,1.8865,1.2307,1.2926,0.69057,0.66157,0.66506,0.37996,0,0,0,0.003928,0.003928,0.003928
186,1.8929,1.3013,1.2825,0.66784,0.57406,0.57408,0.34358,0,0,0,0.003895,0.003895,0.003895
187,1.8626,1.1799,1.2785,0.70952,0.62254,0.62728,0.36993,0,0,0,0.003862,0.003862,0.003862
188,1.7696,1.2049,1.2607,0.72052,0.65227,0.63724,0.37395,0,0,0,0.003829,0.003829,0.003829
189,1.8119,1.1858,1.2389,0.81293,0.63117,0.67328,0.38593,0,0,0,0.003796,0.003796,0.003796
190,1.735,1.1337,1.2318,0.75918,0.64794,0.65754,0.37538,0,0,0,0.003763,0.003763,0.003763
191,1.7661,1.1267,1.2358,0.77737,0.60906,0.63802,0.38435,0,0,0,0.00373,0.00373,0.00373
192,1.8752,1.2758,1.282,0.74304,0.60076,0.61697,0.38333,0,0,0,0.003697,0.003697,0.003697
193,1.8136,1.1751,1.2526,0.65251,0.67315,0.63487,0.39608,0,0,0,0.003664,0.003664,0.003664
194,1.6962,1.1556,1.2092,0.8476,0.68782,0.68171,0.40082,0,0,0,0.003631,0.003631,0.003631
195,1.7814,1.2068,1.2259,0.59242,0.63683,0.60048,0.35123,0,0,0,0.003598,0.003598,0.003598
196,1.8011,1.1574,1.2624,0.81439,0.64317,0.65608,0.39536,0,0,0,0.003565,0.003565,0.003565
197,1.8158,1.1682,1.2411,0.74101,0.60032,0.60251,0.36322,0,0,0,0.003532,0.003532,0.003532
198,1.7333,1.1012,1.2394,0.90106,0.58489,0.61531,0.37624,0,0,0,0.003499,0.003499,0.003499
199,1.7369,1.0963,1.2318,0.8589,0.6335,0.67513,0.39337,0,0,0,0.003466,0.003466,0.003466
200,1.7925,1.1833,1.2646,0.69998,0.64241,0.64147,0.3793,0,0,0,0.003433,0.003433,0.003433
201,1.709,1.0814,1.2312,0.72227,0.59975,0.58868,0.34579,0,0,0,0.0034,0.0034,0.0034
202,1.7649,1.1364,1.219,0.70401,0.66054,0.63781,0.37301,0,0,0,0.003367,0.003367,0.003367
203,1.7734,1.1473,1.218,0.81591,0.64635,0.65656,0.37754,0,0,0,0.003334,0.003334,0.003334
204,1.8209,1.1258,1.2278,0.85749,0.68247,0.70091,0.40291,0,0,0,0.003301,0.003301,0.003301
205,1.725,1.103,1.2357,0.88735,0.6781,0.72696,0.39217,0,0,0,0.003268,0.003268,0.003268
206,1.7383,1.0975,1.2019,0.87889,0.62882,0.67114,0.37241,0,0,0,0.003235,0.003235,0.003235
207,1.6927,1.095,1.2385,0.6017,0.67867,0.66962,0.38209,0,0,0,0.003202,0.003202,0.003202
208,1.7474,1.1325,1.2422,0.76198,0.67706,0.71165,0.39415,0,0,0,0.003169,0.003169,0.003169
209,1.7081,1.1389,1.2141,0.89456,0.63486,0.69822,0.41709,0,0,0,0.003136,0.003136,0.003136
210,1.7874,1.1555,1.238,0.77928,0.6527,0.71862,0.44182,0,0,0,0.003103,0.003103,0.003103
211,1.6713,1.0845,1.2167,0.70174,0.64122,0.71053,0.42582,0,0,0,0.00307,0.00307,0.00307
212,1.8614,1.206,1.2738,0.81739,0.64,0.71163,0.43699,0,0,0,0.003037,0.003037,0.003037
