               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
75,1.6478,1.1508,1.2102,0.58012,0.43731,0.45538,0.28293,0,0,0,0.007558,0.007558,0.007558
76,1.6445,1.1469,1.2081,0.58732,0.43922,0.45733,0.28381,0,0,0,0.007525,0.007525,0.007525
77,1.6499,1.1541,1.2072,0.59155,0.43615,0.45571,0.28348,0,0,0,0.007492,0.007492,0.007492
78,1.6418,1.1486,1.2141,0.58633,0.44284,0.45769,0.28492,0,0,0,0.007459,0.007459,0.007459
79,1.6466,1.1515,1.207,0.58542,0.44212,0.45841,0.28571,0,0,0,0.007426,0.007426,0.007426
80,1.6357,1.1453,1.206,0.58809,0.4444,0.46009,0.28603,0,0,0,0.007393,0.007393,0.007393
81,1.6346,1.1348,1.2062,0.58829,0.44094,0.45944,0.28612,0,0,0,0.00736,0.00736,0.00736
82,1.6359,1.1328,1.2041,0.58763,0.44229,0.45852,0.28618,0,0,0,0.007327,0.007327,0.007327
83,1.6325,1.1327,1.2059,0.5825,0.44501,0.45839,0.28613,0,0,0,0.007294,0.007294,0.007294
84,1.639,1.135,1.2023,0.58505,0.44736,0.46157,0.28825,0,0,0,0.007261,0.007261,0.007261
85,1.6293,1.1347,1.204,0.59327,0.44268,0.46223,0.2886,0,0,0,0.007228,0.007228,0.007228
86,1.6323,1.1297,1.2071,0.5938,0.446,0.46466,0.29001,0,0,0,0.007195,0.007195,0.007195
87,1.6325,1.126,1.2037,0.60649,0.44226,0.46474,0.29005,0,0,0,0.007162,0.007162,0.007162
88,1.6244,1.1194,1.2017,0.6064,0.44438,0.46674,0.29197,0,0,0,0.007129,0.007129,0.007129
89,1.6297,1.1294,1.2053,0.60453,0.44597,0.46659,0.29188,0,0,0,0.007096,0.007096,0.007096
90,1.6265,1.1233,1.2039,0.59709,0.44861,0.46701,0.29202,0,0,0,0.007063,0.007063,0.007063
91,1.6179,1.1183,1.2016,0.60754,0.44528,0.46861,0.29323,0,0,0,0.00703,0.00703,0.00703
92,1.6135,1.1137,1.1996,0.61433,0.44297,0.46786,0.29319,0,0,0,0.006997,0.006997,0.006997
93,1.6197,1.1147,1.202,0.59615,0.45254,0.46993,0.29384,0,0,0,0.006964,0.006964,0.006964
94,1.6212,1.1178,1.2004,0.59781,0.45006,0.46885,0.29332,0,0,0,0.006931,0.006931,0.006931
95,1.6154,1.1136,1.1993,0.60308,0.44711,0.46916,0.2931,0,0,0,0.006898,0.006898,0.006898
96,1.6072,1.1095,1.1992,0.60846,0.44544,0.46978,0.29352,0,0,0,0.006865,0.006865,0.006865
97,1.6185,1.1121,1.1987,0.6123,0.44559,0.46933,0.29422,0,0,0,0.006832,0.006832,0.006832
98,1.6113,1.0997,1.1953,0.60699,0.45027,0.47118,0.29459,0,0,0,0.006799,0.006799,0.006799
99,1.6084,1.0995,1.1968,0.6141,0.4472,0.47124,0.29481,0,0,0,0.006766,0.006766,0.006766
100,1.6166,1.1135,1.2004,0.61386,0.44753,0.471,0.29506,0,0,0,0.006733,0.006733,0.006733
101,1.6143,1.1094,1.2035,0.61191,0.45005,0.46991,0.29467,0,0,0,0.0067,0.0067,0.0067
102,1.6084,1.0937,1.1973,0.61276,0.45047,0.47063,0.29505,0,0,0,0.006667,0.006667,0.006667
103,1.6228,1.1069,1.195,0.61196,0.45025,0.47197,0.29585,0,0,0,0.006634,0.006634,0.006634
104,1.6315,1.1153,1.1959,0.61212,0.44911,0.47239,0.2967,0,0,0,0.006601,0.006601,0.006601
105,1.633,1.1156,1.1976,0.60913,0.45384,0.47564,0.29763,0,0,0,0.006568,0.006568,0.006568
106,1.6462,1.1194,1.1968,0.60844,0.45782,0.47693,0.29833,0,0,0,0.006535,0.006535,0.006535
107,1.6406,1.1165,1.1934,0.60733,0.45715,0.47643,0.2982,0,0,0,0.006502,0.006502,0.006502
108,1.6459,1.115,1.1945,0.61058,0.45638,0.47711,0.29883,0,0,0,0.006469,0.006469,0.006469
109,1.631,1.1124,1.1912,0.60964,0.4582,0.47791,0.29921,0,0,0,0.006436,0.006436,0.006436
110,1.6416,1.1229,1.1931,0.61081,0.46169,0.47798,0.29907,0,0,0,0.006403,0.006403,0.006403
111,1.639,1.116,1.1908,0.61218,0.46132,0.47797,0.29892,0,0,0,0.00637,0.00637,0.00637
112,1.6319,1.115,1.1889,0.61104,0.46068,0.47745,0.29866,0,0,0,0.006337,0.006337,0.006337
113,1.6288,1.1097,1.1872,0.61155,0.46161,0.47772,0.29894,0,0,0,0.006304,0.006304,0.006304
114,1.6291,1.115,1.1886,0.60728,0.46223,0.47818,0.29925,0,0,0,0.006271,0.006271,0.006271
115,1.6299,1.1083,1.187,0.60939,0.46323,0.47874,0.29935,0,0,0,0.006238,0.006238,0.006238
116,1.6179,1.1003,1.185,0.61066,0.46186,0.47906,0.30002,0,0,0,0.006205,0.006205,0.006205
117,1.6169,1.1024,1.1819,0.60919,0.46375,0.48009,0.30075,0,0,0,0.006172,0.006172,0.006172
118,1.6285,1.1095,1.1878,0.61103,0.46366,0.48053,0.30119,0,0,0,0.006139,0.006139,0.006139
119,1.6174,1.099,1.1845,0.60533,0.46735,0.48052,0.30116,0,0,0,0.006106,0.006106,0.006106
120,1.6255,1.1091,1.1859,0.61052,0.46419,0.48073,0.30172,0,0,0,0.006073,0.006073,0.006073
121,1.6181,1.1023,1.1852,0.60939,0.46372,0.48103,0.3018,0,0,0,0.00604,0.00604,0.00604
122,1.6112,1.0986,1.1809,0.61083,0.46427,0.4815,0.30188,0,0,0,0.006007,0.006007,0.006007
123,1.6229,1.0998,1.1817,0.60986,0.4649,0.48191,0.30218,0,0,0,0.005974,0.005974,0.005974
124,1.624,1.0972,1.1818,0.61345,0.466,0.4822,0.30253,0,0,0,0.005941,0.005941,0.005941
125,1.6047,1.0911,1.1798,0.61419,0.46454,0.48302,0.30286,0,0,0,0.005908,0.005908,0.005908
126,1.612,1.094,1.1811,0.61872,0.46413,0.48367,0.30346,0,0,0,0.005875,0.005875,0.005875
127,1.6024,1.0853,1.1803,0.62224,0.46262,0.48446,0.30367,0,0,0,0.005842,0.005842,0.005842
128,1.6104,1.0888,1.1807,0.6238,0.46171,0.48467,0.30366,0,0,0,0.005809,0.005809,0.005809
129,1.6114,1.0921,1.1784,0.62183,0.4621,0.48518,0.30421,0,0,0,0.005776,0.005776,0.005776
130,1.6244,1.1022,1.184,0.62074,0.46215,0.48527,0.30448,0,0,0,0.005743,0.005743,0.005743
131,1.611,1.0857,1.1813,0.61979,0.46313,0.48579,0.30473,0,0,0,0.00571,0.00571,0.00571
132,1.6029,1.0807,1.1792,0.61773,0.46434,0.48595,0.30496,0,0,0,0.005677,0.005677,0.005677
133,1.5975,1.0789,1.1774,0.61953,0.46375,0.48604,0.30507,0,0,0,0.005644,0.005644,0.005644
134,1.5974,1.0785,1.18,0.62221,0.46404,0.4865,0.30556,0,0,0,0.005611,0.005611,0.005611
135,1.6006,1.0791,1.1734,0.62139,0.46432,0.48686,0.3059,0,0,0,0.005578,0.005578,0.005578
136,1.5874,1.0721,1.1789,0.61748,0.46688,0.48739,0.30646,0,0,0,0.005545,0.005545,0.005545
137,1.5987,1.0732,1.1766,0.61915,0.46665,0.48756,0.30644,0,0,0,0.005512,0.005512,0.005512
138,1.6076,1.0819,1.1735,0.62312,0.46539,0.48815,0.30653,0,0,0,0.005479,0.005479,0.005479
139,1.6009,1.0736,1.1783,0.62223,0.46493,0.48823,0.3066,0,0,0,0.005446,0.005446,0.005446
140,1.5897,1.0716,1.1749,0.62193,0.46392,0.48857,0.30659,0,0,0,0.005413,0.005413,0.005413
141,1.5923,1.0611,1.1736,0.6205,0.46623,0.48876,0.307,0,0,0,0.00538,0.00538,0.00538
142,1.5916,1.0705,1.1763,0.62117,0.4664,0.48929,0.30718,0,0,0,0.005347,0.005347,0.005347
143,1.5971,1.0723,1.1766,0.6213,0.46712,0.48974,0.30737,0,0,0,0.005314,0.005314,0.005314
144,1.5905,1.0675,1.1742,0.62589,0.46634,0.48994,0.30726,0,0,0,0.005281,0.005281,0.005281
145,1.5981,1.0675,1.1733,0.6283,0.46558,0.49015,0.30738,0,0,0,0.005248,0.005248,0.005248
146,1.5877,1.0637,1.1773,0.62508,0.46748,0.49021,0.30728,0,0,0,0.005215,0.005215,0.005215
147,1.5981,1.0683,1.1723,0.62685,0.46774,0.49073,0.30754,0,0,0,0.005182,0.005182,0.005182
148,1.5809,1.0529,1.1691,0.62468,0.46922,0.49116,0.30769,0,0,0,0.005149,0.005149,0.005149
149,1.5916,1.0637,1.1728,0.62391,0.4702,0.49101,0.30798,0,0,0,0.005116,0.005116,0.005116
150,1.5861,1.0558,1.1729,0.62665,0.46908,0.49118,0.30811,0,0,0,0.005083,0.005083,0.005083
151,1.5853,1.0586,1.1728,0.62763,0.46843,0.49149,0.30815,0,0,0,0.00505,0.00505,0.00505
152,1.5829,1.0575,1.1698,0.62452,0.46969,0.49159,0.30806,0,0,0,0.005017,0.005017,0.005017
153,1.5803,1.0494,1.1701,0.62952,0.46792,0.49184,0.30833,0,0,0,0.004984,0.004984,0.004984
154,1.5721,1.0433,1.1679,0.62852,0.46885,0.49209,0.30842,0,0,0,0.004951,0.004951,0.004951
155,1.586,1.0525,1.1704,0.62777,0.46894,0.49238,0.3086,0,0,0,0.004918,0.004918,0.004918
156,1.5681,1.0437,1.1689,0.62821,0.46915,0.4925,0.30891,0,0,0,0.004885,0.004885,0.004885
157,1.5825,1.0519,1.1713,0.62404,0.47082,0.49258,0.30911,0,0,0,0.004852,0.004852,0.004852
158,1.5773,1.0404,1.1663,0.62497,0.47063,0.49272,0.30916,0,0,0,0.004819,0.004819,0.004819
159,1.5739,1.0376,1.1665,0.62625,0.47099,0.49284,0.30915,0,0,0,0.004786,0.004786,0.004786
160,1.5789,1.0504,1.1714,0.62727,0.47033,0.49296,0.3093,0,0,0,0.004753,0.004753,0.004753
161,1.5736,1.0451,1.1721,0.62763,0.46924,0.49303,0.30946,0,0,0,0.00472,0.00472,0.00472
162,1.5761,1.047,1.1693,0.62809,0.46907,0.493,0.30945,0,0,0,0.004687,0.004687,0.004687
163,1.5663,1.0357,1.1657,0.62749,0.46973,0.49312,0.3097,0,0,0,0.004654,0.004654,0.004654
164,1.5602,1.0338,1.1681,0.62733,0.46997,0.49317,0.30997,0,0,0,0.004621,0.004621,0.004621
165,1.5644,1.0306,1.1662,0.62798,0.47072,0.49394,0.31038,0,0,0,0.004588,0.004588,0.004588
166,1.5602,1.0292,1.1667,0.62663,0.4716,0.49377,0.31038,0,0,0,0.004555,0.004555,0.004555
167,1.556,1.0269,1.1635,0.62847,0.47045,0.49386,0.31049,0,0,0,0.004522,0.004522,0.004522
168,1.5708,1.0401,1.1706,0.62836,0.47023,0.49419,0.3106,0,0,0,0.004489,0.004489,0.004489
169,1.5663,1.0302,1.1655,0.62935,0.46982,0.49419,0.3105,0,0,0,0.004456,0.004456,0.004456
170,1.5546,1.0242,1.166,0.62811,0.47042,0.49417,0.31062,0,0,0,0.004423,0.004423,0.004423
171,1.5617,1.0275,1.1679,0.62885,0.47067,0.4943,0.31068,0,0,0,0.00439,0.00439,0.00439
172,1.5589,1.0275,1.1685,0.63005,0.47018,0.49446,0.31066,0,0,0,0.004357,0.004357,0.004357
173,1.5547,1.0175,1.167,0.63129,0.4707,0.49473,0.3108,0,0,0,0.004324,0.004324,0.004324
174,1.5535,1.0176,1.1625,0.63277,0.47049,0.49475,0.31082,0,0,0,0.004291,0.004291,0.004291
175,1.5642,1.0245,1.1606,0.63394,0.46985,0.49496,0.31097,0,0,0,0.004258,0.004258,0.004258
176,1.5562,1.018,1.1653,0.63349,0.47005,0.49527,0.31116,0,0,0,0.004225,0.004225,0.004225
177,1.5532,1.0162,1.1649,0.63287,0.47109,0.49538,0.31137,0,0,0,0.004192,0.004192,0.004192
178,1.5556,1.0187,1.1651,0.63201,0.47179,0.49533,0.3114,0,0,0,0.004159,0.004159,0.004159
179,1.5514,1.0114,1.1626,0.63295,0.47234,0.49566,0.31157,0,0,0,0.004126,0.004126,0.004126
180,1.5522,1.0151,1.1639,0.63045,0.47357,0.49576,0.31161,0,0,0,0.004093,0.004093,0.004093
181,1.5484,1.0097,1.1624,0.62955,0.47356,0.49582,0.31178,0,0,0,0.00406,0.00406,0.00406
182,1.548,1.0073,1.163,0.63166,0.47284,0.49588,0.31183,0,0,0,0.004027,0.004027,0.004027
183,1.5472,1.0039,1.1641,0.63053,0.47374,0.49595,0.31189,0,0,0,0.003994,0.003994,0.003994
184,1.541,1.0098,1.1618,0.63219,0.4718,0.49598,0.31184,0,0,0,0.003961,0.003961,0.003961
